Day,Number of animals,Number of plants,Number of empty squares,Most popular genome,Average animal energy,Average animal life span
1,21,28,54,"[3, 2, 6, 1, 2, 6, 6, 4, 1, 3]",12.0,0.0
2,25,29,55,"[3, 2, 6, 1, 2, 6, 6, 4, 1, 3]",10.12,0.0
3,27,28,54,"[1, 0, 3, 6, 0, 2, 4, 6, 1, 6]",9.7,0.0
4,29,32,48,"[1, 0, 3, 6, 1, 6, 5, 3, 3, 4]",8.28,4.0
5,27,33,46,"[1, 0, 3, 6, 1, 6, 5, 3, 3, 4]",8.7,4.0
6,26,35,45,"[1, 0, 3, 6, 1, 6, 5, 3, 3, 4]",8.73,4.5
7,27,34,46,"[1, 0, 3, 6, 1, 6, 5, 3, 3, 4]",8.59,4.4
8,28,35,45,"[1, 0, 3, 6, 0, 2, 4, 6, 1, 6]",8.21,4.4
9,29,35,42,"[1, 0, 3, 6, 0, 2, 4, 6, 1, 6]",7.72,5.57
10,27,35,43,"[1, 0, 3, 6, 0, 2, 4, 6, 1, 6]",8.59,5.89
11,26,35,43,"[1, 0, 3, 6, 0, 2, 4, 6, 1, 6]",8.77,5.7
12,26,35,45,"[6, 4, 2, 2, 0, 0, 4, 5, 2, 3]",8.92,5.7
13,28,36,45,"[3, 5, 3, 5, 6, 5, 1, 6, 4, 2]",7.79,6.36
14,29,35,47,"[3, 5, 3, 5, 6, 5, 1, 6, 4, 2]",7.69,7.86
